url,Course Title,Course Headline,Instructor,Rating,course_length,number_of_lectures,difficulty
https://www.udemy.com/course/deeplearning_x/,A deep understanding of deep learning (with Python intro),"Master deep learning in PyTorch using an experimental scientific approach, with lots of examples and practice problems.",Mike X Cohen,4.8,54.5 total hours,256 lectures,Beginner
https://www.udemy.com/course/the-python-mega-course/,The Python Mega Course: Build 10 Real World Applications,Go from zero to hero in Python in weeks! Learn Python the easy way by building real-life Python programs!,Ardit Sulce,4.6,33.5 total hours,344 lectures,All Levels
https://www.udemy.com/course/python-the-complete-python-developer-course/,Learn Python Programming Masterclass,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",4.5,67 total hours,492 lectures,All Levels
https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,,"Colt Steele, Ian Schoonover",4.6,67 total hours,492 lectures,All Levels
https://www.udemy.com/course/the-advanced-web-developer-bootcamp/,The Advanced Web Developer Bootcamp,,"Colt Steele, Elie Schoppik, Tim Garcia, Matt Lane",4.5,67 total hours,492 lectures,All Levels
https://www.udemy.com/course/the-modern-python3-bootcamp/,The Modern Python 3 Bootcamp,,Colt Steele,4.7,67 total hours,492 lectures,All Levels
https://www.udemy.com/course/100-days-of-code/,100 Days of Code - The Complete Python Pro Bootcamp for 2021,"Master Python by building 100 projects in 100 days. Learn to build websites, games, apps, plus scraping and data science",Dr. Angela Yu,4.7,63.5 total hours,675 lectures,All Levels
https://www.udemy.com/course/automate/,Automate the Boring Stuff with Python Programming,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",Al Sweigart,4.6,9.5 total hours,51 lectures,All Levels
https://www.udemy.com/course/complete-python-bootcamp/,2021 Complete Python Bootcamp From Zero to Hero in Python,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,Jose Portilla,4.6,22 total hours,155 lectures,All Levels
https://www.udemy.com/course/100-days-of-code/,100 Days of Code - The Complete Python Pro Bootcamp for 2021,,Dr. Angela Yu,4.7,63.5 total hours,675 lectures,All Levels
https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,Python for Finance: Investment Fundamentals & Data Analytics,,365 Careers,4.6,8.5 total hours,111 lectures,All Levels
https://www.udemy.com/course/data-analysis-with-pandas/,Data Analysis with Pandas and Python,,Boris Paskhaver,4.6,20.5 total hours,177 lectures,All Levels
https://www.udemy.com/course/deep-learning-prerequisites-the-numpy-stack-in-python/,Deep Learning Prerequisites: The Numpy Stack in Python (V2+),,Lazy Programmer Inc.,4.6,6 total hours,51 lectures,All Levels
https://www.udemy.com/course/the-ultimate-pandas-bootcamp-advanced-python-data-analysis/,The Ultimate Pandas Bootcamp: Advanced Python Data Analysis,,Andy Bek,4.8,32 total hours,332 lectures,All Levels
https://www.udemy.com/course/python-programming-projects/,Python for Beginners: Learn Python Programming (Python 3),"Learn Python Programming the Easy Way, Complete with Examples, Quizzes, Exercises and more. Learn Python 2 and Python 3.",Jason Cannon,4.5,3 total hours,78 lectures,All Levels
https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Jose Portilla,4.7,25 total hours,165 lectures,All Levels
https://www.udemy.com/course/complete-python-developer-zero-to-mastery/,Complete Python Developer in 2021: Zero to Mastery,"How to become a Python 3 Developer and get hired! Build 12+ projects, learn Web Development, Machine Learning + more!",Andrei Neagoie,4.7,30.5 total hours,329 lectures,All Levels
https://www.udemy.com/course/machinelearning/,Machine Learning A-Z™: Hands-On Python & R In Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Support, Ligency Team",4.5,44.5 total hours,320 lectures,All Levels
https://www.udemy.com/course/the-python-bible/,The Python Bible™ | Everything You Need to Program in Python,Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,"Ziyad Yehia, Internet of Things Academy",4.6,9 total hours,74 lectures,Beginner
https://www.udemy.com/course/the-modern-python3-bootcamp/,The Modern Python 3 Bootcamp,A Unique Interactive Python Experience With Nearly 200 Exercises and Quizzes,Colt Steele,4.7,30.5 total hours,376 lectures,Beginner
https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Machine Learning, Data Science and Deep Learning with Python","Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks","Sundog Education by Frank Kane, Frank Kane, Sundog Education Team",4.7,15.5 total hours,116 lectures,Beginner
https://www.udemy.com/course/the-complete-python-course/,The Complete Python Course | Learn Python by Doing,Go from Beginner to Expert in Python by building projects. The best investment for your Python journey!,"Codestars by Rob Percival, Jose Salvatierra, Rob Percival, Teclado by Jose Salvatierra",4.6,35.5 total hours,343 lectures,All Levels
https://www.udemy.com/course/rest-api-flask-and-python/,REST APIs with Flask and Python,"Build professional REST APIs with Python, Flask, Flask-RESTful, and Flask-SQLAlchemy","Jose Salvatierra, Teclado by Jose Salvatierra",4.6,17 total hours,157 lectures,Intermediate
https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,Python for Finance: Investment Fundamentals & Data Analytics,Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training,365 Careers,4.6,8.5 total hours,111 lectures,All Levels
https://www.udemy.com/course/python-core-and-advanced/,Python for beginners,Master the fundamentals of Python while working on various usecases in easy steps,Bharath Thippireddy,4.5,13 total hours,275 lectures,All Levels
https://www.udemy.com/course/deep-learning-prerequisites-the-numpy-stack-in-python/,Deep Learning Prerequisites: The Numpy Stack in Python (V2+),"The Numpy, Scipy, Pandas, and Matplotlib stack: prep for deep learning, machine learning, and artificial intelligence",Lazy Programmer Inc.,4.6,6 total hours,51 lectures,All Levels
